,Jim_Thomas,Eleftherios_Koutsofios,Jonathan_I._Helfman,Mary_Brewster,Christopher_G._Healey,Jason_Stewart,Volker_Vogelmann,Benjamin_B._Bederson,S._Joy_Mountford,L._D._Bergman,Rich_Gossweiler,Peter_R._Keller,David_P._Helmbold,C._Dunmire,C._C._Gomberg,Allison_Woodruff,Karlis_Kaugars,M._Weiser,Issei_Fujishiro,Diane_T._Rover,Stephen_G._Kobourov,Ron_Davidson,Praveen_R._Thiagarajan,Claudia_Schmid,M._Gray,Lawrence_A._Rowe,C._K._Yung,Ken_Perrine,M._Maruyama,Quang_Vinh_Nguyen,Jeffrey_Brainerd,Fran̤ois_Robillard,C._Shaw,Min_Chen,Kevin_Teixeira,Maureen_Tingley,Ishantha_Lokuge,Mac_Holden,Gordon_V._Bancroft
Jim_Thomas,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eleftherios_Koutsofios,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan_I._Helfman,0,0,0,0,0,2,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mary_Brewster,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christopher_G._Healey,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason_Stewart,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volker_Vogelmann,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin_B._Bederson,0,0,10,0,2,4,0,30,6,0,4,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S._Joy_Mountford,0,0,2,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L._D._Bergman,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rich_Gossweiler,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter_R._Keller,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David_P._Helmbold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C._Dunmire,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C._C._Gomberg,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allison_Woodruff,0,0,0,0,0,0,2,6,0,0,0,2,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karlis_Kaugars,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M._Weiser,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
