,start,end,weight,edge_idx

0,Jim_Thomas,Jim_Thomas,2,0

1,Jim_Thomas,Mary_Brewster,8,1

2,Eleftherios_Koutsofios,L._D._Bergman,2,2

3,Eleftherios_Koutsofios,Peter_R._Keller,2,3

4,Eleftherios_Koutsofios,M._Weiser,2,4

5,Eleftherios_Koutsofios,Stephen_G._Kobourov,2,5

6,Jonathan_I._Helfman,Jason_Stewart,2,6

7,Jonathan_I._Helfman,Benjamin_B._Bederson,10,7

8,Jonathan_I._Helfman,S._Joy_Mountford,2,8

9,Mary_Brewster,Jim_Thomas,8,9

10,Christopher_G._Healey,Christopher_G._Healey,2,10

11,Christopher_G._Healey,Benjamin_B._Bederson,2,11

12,Christopher_G._Healey,M._Weiser,2,12

13,Jason_Stewart,Jonathan_I._Helfman,2,13

14,Jason_Stewart,Benjamin_B._Bederson,4,14

15,Jason_Stewart,S._Joy_Mountford,2,15

16,Volker_Vogelmann,Peter_R._Keller,2,16

17,Volker_Vogelmann,Allison_Woodruff,2,17

18,Benjamin_B._Bederson,Jonathan_I._Helfman,10,18

19,Benjamin_B._Bederson,Christopher_G._Healey,2,19

20,Benjamin_B._Bederson,Jason_Stewart,4,20

21,Benjamin_B._Bederson,Benjamin_B._Bederson,30,21

22,Benjamin_B._Bederson,S._Joy_Mountford,6,22

23,Benjamin_B._Bederson,Rich_Gossweiler,4,23

24,Benjamin_B._Bederson,Allison_Woodruff,6,24

25,Benjamin_B._Bederson,Karlis_Kaugars,4,25

26,Benjamin_B._Bederson,M._Weiser,2,26

27,S._Joy_Mountford,Jonathan_I._Helfman,2,27

28,S._Joy_Mountford,Jason_Stewart,2,28

29,S._Joy_Mountford,Benjamin_B._Bederson,6,29

30,L._D._Bergman,Eleftherios_Koutsofios,2,30

31,L._D._Bergman,Stephen_G._Kobourov,2,31

32,Rich_Gossweiler,Benjamin_B._Bederson,4,32

33,Rich_Gossweiler,C._Dunmire,2,33

34,Rich_Gossweiler,C._C._Gomberg,2,34

35,Peter_R._Keller,Eleftherios_Koutsofios,2,35

36,Peter_R._Keller,Volker_Vogelmann,2,36

37,Peter_R._Keller,Allison_Woodruff,2,37

38,Peter_R._Keller,Issei_Fujishiro,2,38

39,David_P._Helmbold,Diane_T._Rover,2,39

40,C._Dunmire,Rich_Gossweiler,2,40

41,C._Dunmire,Allison_Woodruff,2,41

42,C._C._Gomberg,Rich_Gossweiler,2,42

43,C._C._Gomberg,Allison_Woodruff,2,43

44,Allison_Woodruff,Volker_Vogelmann,2,44

45,Allison_Woodruff,Benjamin_B._Bederson,6,45

46,Allison_Woodruff,Peter_R._Keller,2,46

47,Allison_Woodruff,C._Dunmire,2,47

48,Allison_Woodruff,C._C._Gomberg,2,48

49,Allison_Woodruff,Allison_Woodruff,10,49

50,Karlis_Kaugars,Benjamin_B._Bederson,4,50

51,M._Weiser,Eleftherios_Koutsofios,2,51

52,M._Weiser,Christopher_G._Healey,2,52

53,M._Weiser,Benjamin_B._Bederson,2,53

54,Issei_Fujishiro,Peter_R._Keller,2,54

55,Diane_T._Rover,David_P._Helmbold,2,55

56,Stephen_G._Kobourov,Eleftherios_Koutsofios,2,56

57,Stephen_G._Kobourov,L._D._Bergman,2,57

58,Stephen_G._Kobourov,Stephen_G._Kobourov,2,58

59,Ron_Davidson,Ron_Davidson,0,59

60,Praveen_R._Thiagarajan,Praveen_R._Thiagarajan,0,60

61,Claudia_Schmid,Claudia_Schmid,0,61

62,M._Gray,M._Gray,0,62

63,Lawrence_A._Rowe,Lawrence_A._Rowe,0,63

64,C._K._Yung,C._K._Yung,0,64

65,Ken_Perrine,Ken_Perrine,0,65

66,M._Maruyama,M._Maruyama,0,66

67,Quang_Vinh_Nguyen,Quang_Vinh_Nguyen,0,67

68,Jeffrey_Brainerd,Jeffrey_Brainerd,0,68

69,Fran̤ois_Robillard,Fran̤ois_Robillard,0,69

70,C._Shaw,C._Shaw,0,70

71,Min_Chen,Min_Chen,0,71

72,Kevin_Teixeira,Kevin_Teixeira,0,72

73,Maureen_Tingley,Maureen_Tingley,0,73

74,Ishantha_Lokuge,Ishantha_Lokuge,0,74

75,Mac_Holden,Mac_Holden,0,75

76,Gordon_V._Bancroft,Gordon_V._Bancroft,0,76

